GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MutationTesting,MutationTesting,MutationCompiler,61,75,2,4,15,19,4,4,2,3
MutationTesting,MutationTesting,Mutation,0,121,0,2,0,34,0,18,0,17
MutationTesting,MutationTesting,MutationReport,70,209,0,0,14,49,2,22,2,22
MutationTesting,MutationTesting,MutationTestingApp,249,0,14,0,71,0,10,0,3,0
MutationTesting,MutationTesting,Program,2,51,1,3,1,14,1,6,0,5
MutationTesting,MutationTesting,SourceFile,53,32,5,5,14,12,7,6,4,4
MutationTesting,MutationTesting,Mutator,12,424,4,36,6,103,5,21,1,5
MutationTesting,MutationTesting,MutationTest,426,685,24,56,71,119,30,34,9,15
MutationTesting,MutationTesting,Timing,11,71,1,1,4,22,3,9,2,9
MutationTesting,MutationTesting,TestSuite,160,201,14,8,21,31,9,12,1,9
MutationTesting,MutationTesting,BuildConfig,103,13,0,0,37,5,1,3,1,3
